[ANCHOR_DEBUG] upd=148 n_upd=148 a0_mean=-0.0667 a0_std=0.3694 anchor=0.0001 | adv_BUY=-0.0387 adv_SELL=0.0398 adv_HOLD=-0.0134 | v_BUY=-0.2930 v_SELL=-0.3036 | nB=628 nS=924 nH=496
[ANCHOR_DEBUG] upd=152 n_upd=152 a0_mean=-0.0771 a0_std=0.3694 anchor=0.0001 | adv_BUY=-0.0641 adv_SELL=0.0093 adv_HOLD=0.1116 | v_BUY=-0.3295 v_SELL=-0.3239 | nB=740 nS=904 nH=404
[ANCHOR_DEBUG] upd=156 n_upd=156 a0_mean=-0.0682 a0_std=0.3694 anchor=0.0001 | adv_BUY=0.1104 adv_SELL=-0.0485 adv_HOLD=-0.0744 | v_BUY=-0.4028 v_SELL=-0.4139 | nB=680 nS=992 nH=376
[ANCHOR_DEBUG] upd=160 n_upd=160 a0_mean=-0.0606 a0_std=0.3694 anchor=0.0001 | adv_BUY=0.0246 adv_SELL=-0.0400 adv_HOLD=0.0513 | v_BUY=-0.4288 v_SELL=-0.4390 | nB=640 nS=968 nH=440
[ANCHOR_DEBUG] upd=164 n_upd=164 a0_mean=-0.0555 a0_std=0.3694 anchor=0.0001 | adv_BUY=0.0253 adv_SELL=0.0186 adv_HOLD=-0.0937 | v_BUY=-0.3793 v_SELL=-0.3804 | nB=640 nS=980 nH=428
[ANCHOR_DEBUG] upd=168 n_upd=168 a0_mean=-0.0555 a0_std=0.3694 anchor=0.0002 | adv_BUY=-0.0307 adv_SELL=0.0124 adv_HOLD=0.0475 | v_BUY=-0.3248 v_SELL=-0.3279 | nB=736 nS=888 nH=424
[ANCHOR_DEBUG] upd=172 n_upd=172 a0_mean=-0.0603 a0_std=0.3695 anchor=0.0002 | adv_BUY=-0.0088 adv_SELL=0.1151 adv_HOLD=-0.1910 | v_BUY=-0.2555 v_SELL=-0.2605 | nB=652 nS=952 nH=444
[ANCHOR_DEBUG] upd=176 n_upd=176 a0_mean=-0.0688 a0_std=0.3697 anchor=0.0003 | adv_BUY=0.0308 adv_SELL=0.0131 adv_HOLD=-0.0975 | v_BUY=-0.1475 v_SELL=-0.1462 | nB=696 nS=940 nH=412
[ANCHOR_DEBUG] upd=180 n_upd=180 a0_mean=-0.0765 a0_std=0.3698 anchor=0.0003 | adv_BUY=-0.0754 adv_SELL=0.0508 adv_HOLD=0.0272 | v_BUY=-0.1562 v_SELL=-0.1554 | nB=712 nS=916 nH=420
[ANCHOR_DEBUG] upd=184 n_upd=184 a0_mean=-0.0898 a0_std=0.3699 anchor=0.0004 | adv_BUY=0.0035 adv_SELL=-0.0118 adv_HOLD=0.0076 | v_BUY=-0.1589 v_SELL=-0.1636 | nB=628 nS=1008 nH=412
[ANCHOR_DEBUG] upd=188 n_upd=188 a0_mean=-0.0840 a0_std=0.3699 anchor=0.0004 | adv_BUY=-0.0615 adv_SELL=0.0010 adv_HOLD=0.0727 | v_BUY=-0.1927 v_SELL=-0.1884 | nB=656 nS=956 nH=436
[ANCHOR_DEBUG] upd=192 n_upd=192 a0_mean=-0.0855 a0_std=0.3700 anchor=0.0004 | adv_BUY=0.0177 adv_SELL=-0.0363 adv_HOLD=0.0471 | v_BUY=-0.2250 v_SELL=-0.2095 | nB=668 nS=964 nH=416
[ANCHOR_DEBUG] upd=196 n_upd=196 a0_mean=-0.0959 a0_std=0.3701 anchor=0.0006 | adv_BUY=0.0177 adv_SELL=0.0213 adv_HOLD=-0.0824 | v_BUY=-0.2651 v_SELL=-0.2658 | nB=656 nS=968 nH=424
[ANCHOR_DEBUG] upd=200 n_upd=200 a0_mean=-0.1060 a0_std=0.3702 anchor=0.0008 | adv_BUY=-0.0648 adv_SELL=0.0119 adv_HOLD=0.0593 | v_BUY=-0.2699 v_SELL=-0.2878 | nB=580 nS=1028 nH=440
[ANCHOR_DEBUG] upd=204 n_upd=204 a0_mean=-0.1122 a0_std=0.3703 anchor=0.0009 | adv_BUY=-0.1222 adv_SELL=0.1015 adv_HOLD=-0.1215 | v_BUY=-0.3480 v_SELL=-0.3506 | nB=504 nS=1092 nH=452
[ANCHOR_DEBUG] upd=208 n_upd=208 a0_mean=-0.1358 a0_std=0.3704 anchor=0.0010 | adv_BUY=-0.0046 adv_SELL=0.0112 adv_HOLD=-0.0294 | v_BUY=-0.3253 v_SELL=-0.3158 | nB=600 nS=976 nH=472
[ANCHOR_DEBUG] upd=212 n_upd=212 a0_mean=-0.1429 a0_std=0.3704 anchor=0.0011 | adv_BUY=-0.0843 adv_SELL=0.0144 adv_HOLD=0.0727 | v_BUY=-0.2896 v_SELL=-0.2790 | nB=504 nS=1120 nH=424
[ANCHOR_DEBUG] upd=216 n_upd=216 a0_mean=-0.1599 a0_std=0.3704 anchor=0.0012 | adv_BUY=-0.1057 adv_SELL=0.0922 adv_HOLD=-0.1190 | v_BUY=-0.2832 v_SELL=-0.2803 | nB=488 nS=1140 nH=420
[ANCHOR_DEBUG] upd=220 n_upd=220 a0_mean=-0.1761 a0_std=0.3704 anchor=0.0014 | adv_BUY=0.0077 adv_SELL=-0.0373 adv_HOLD=0.0980 | v_BUY=-0.3084 v_SELL=-0.3057 | nB=456 nS=1160 nH=432
[ANCHOR_DEBUG] upd=224 n_upd=224 a0_mean=-0.1825 a0_std=0.3704 anchor=0.0015 | adv_BUY=0.0358 adv_SELL=-0.0169 adv_HOLD=0.0511 | v_BUY=-0.3060 v_SELL=-0.2953 | nB=384 nS=1328 nH=336
[ANCHOR_DEBUG] upd=228 n_upd=228 a0_mean=-0.1917 a0_std=0.3705 anchor=0.0017 | adv_BUY=0.1431 adv_SELL=-0.0322 adv_HOLD=-0.0645 | v_BUY=-0.2654 v_SELL=-0.2578 | nB=444 nS=1212 nH=392
[ANCHOR_DEBUG] upd=232 n_upd=232 a0_mean=-0.2038 a0_std=0.3706 anchor=0.0020 | adv_BUY=-0.1358 adv_SELL=0.0186 adv_HOLD=0.0975 | v_BUY=-0.2702 v_SELL=-0.2690 | nB=444 nS=1200 nH=404
[ANCHOR_DEBUG] upd=236 n_upd=236 a0_mean=-0.2289 a0_std=0.3706 anchor=0.0024 | adv_BUY=-0.0141 adv_SELL=0.0045 adv_HOLD=0.0606 | v_BUY=-0.2203 v_SELL=-0.2325 | nB=464 nS=1236 nH=348
[ANCHOR_DEBUG] upd=240 n_upd=240 a0_mean=-0.2521 a0_std=0.3705 anchor=0.0029 | adv_BUY=-0.0119 adv_SELL=-0.0196 adv_HOLD=0.0854 | v_BUY=-0.1619 v_SELL=-0.1630 | nB=376 nS=1312 nH=360
[ANCHOR_DEBUG] upd=244 n_upd=244 a0_mean=-0.2767 a0_std=0.3705 anchor=0.0036 | adv_BUY=0.0059 adv_SELL=-0.0091 adv_HOLD=0.0082 | v_BUY=-0.1382 v_SELL=-0.1307 | nB=268 nS=1412 nH=368
[ANCHOR_DEBUG] upd=248 n_upd=248 a0_mean=-0.3012 a0_std=0.3704 anchor=0.0045 | adv_BUY=-0.0544 adv_SELL=0.0385 adv_HOLD=-0.1343 | v_BUY=-0.1287 v_SELL=-0.1310 | nB=264 nS=1472 nH=312
[ANCHOR_DEBUG] upd=252 n_upd=252 a0_mean=-0.2661 a0_std=0.3705 anchor=0.0036 | adv_BUY=-0.1502 adv_SELL=0.0266 adv_HOLD=0.0404 | v_BUY=-0.1963 v_SELL=-0.1861 | nB=356 nS=1320 nH=372
[ANCHOR_DEBUG] upd=256 n_upd=256 a0_mean=-0.2942 a0_std=0.3705 anchor=0.0044 | adv_BUY=0.0845 adv_SELL=-0.0309 adv_HOLD=0.1657 | v_BUY=-0.1924 v_SELL=-0.1616 | nB=256 nS=1520 nH=272
[ANCHOR_DEBUG] upd=260 n_upd=260 a0_mean=-0.3370 a0_std=0.3706 anchor=0.0061 | adv_BUY=0.1768 adv_SELL=-0.0080 adv_HOLD=-0.0616 | v_BUY=-0.1776 v_SELL=-0.1873 | nB=248 nS=1484 nH=316
[ANCHOR_DEBUG] upd=264 n_upd=264 a0_mean=-0.3621 a0_std=0.3707 anchor=0.0068 | adv_BUY=-0.2586 adv_SELL=0.0315 adv_HOLD=-0.0044 | v_BUY=-0.2773 v_SELL=-0.2800 | nB=196 nS=1564 nH=288
[ANCHOR_DEBUG] upd=268 n_upd=268 a0_mean=-0.4130 a0_std=0.3707 anchor=0.0080 | adv_BUY=-0.3353 adv_SELL=0.0591 adv_HOLD=-0.1424 | v_BUY=-0.2781 v_SELL=-0.2814 | nB=152 nS=1584 nH=312
[ANCHOR_DEBUG] upd=272 n_upd=272 a0_mean=-0.4595 a0_std=0.3707 anchor=0.0089 | adv_BUY=-0.1175 adv_SELL=0.0488 adv_HOLD=-0.2316 | v_BUY=-0.1749 v_SELL=-0.1902 | nB=152 nS=1692 nH=204
[ANCHOR_DEBUG] upd=276 n_upd=276 a0_mean=-0.4933 a0_std=0.3706 anchor=0.0097 | adv_BUY=-0.2592 adv_SELL=0.0264 adv_HOLD=-0.0056 | v_BUY=-0.2166 v_SELL=-0.1901 | nB=160 nS=1684 nH=204
