2026-08-18 10:37:01,840 INFO [ACTION_DIFF] Step 550 | Requested=BUY Executed=BUY | inv_penalty=-0.01000 | rejections={'fee_gate': 166, 'risk_gate': 0, 'cooldown_wait': 15, 'cooldown_hold_min': 4, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 18, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 550, 'deadband_reject': 105, 'routing_reject': 224, 'budget_reject': 18, 'barrier_reject': 166, 'portfolio_reject': 0, 'trade_executed': 21}
2026-08-18 10:37:14 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 600 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 176, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 600, 'deadband_reject': 115, 'routing_reject': 249, 'budget_reject': 20, 'barrier_reject': 176, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:14,893 INFO [ACTION_DIFF] Step 600 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 176, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 600, 'deadband_reject': 115, 'routing_reject': 249, 'budget_reject': 20, 'barrier_reject': 176, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:23 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 650 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 200, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 650, 'deadband_reject': 124, 'routing_reject': 266, 'budget_reject': 20, 'barrier_reject': 200, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:23,077 INFO [ACTION_DIFF] Step 650 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 200, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 650, 'deadband_reject': 124, 'routing_reject': 266, 'budget_reject': 20, 'barrier_reject': 200, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:30 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 700 | Requested=BUY Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 224, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 700, 'deadband_reject': 131, 'routing_reject': 285, 'budget_reject': 20, 'barrier_reject': 224, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:30,967 INFO [ACTION_DIFF] Step 700 | Requested=BUY Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 224, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 700, 'deadband_reject': 131, 'routing_reject': 285, 'budget_reject': 20, 'barrier_reject': 224, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:36 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 750 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 239, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 750, 'deadband_reject': 144, 'routing_reject': 307, 'budget_reject': 20, 'barrier_reject': 239, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:36,921 INFO [ACTION_DIFF] Step 750 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 239, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 750, 'deadband_reject': 144, 'routing_reject': 307, 'budget_reject': 20, 'barrier_reject': 239, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:46 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 800 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 258, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 800, 'deadband_reject': 157, 'routing_reject': 325, 'budget_reject': 20, 'barrier_reject': 258, 'portfolio_reject': 0, 'trade_executed': 22}
