2026-08-18 10:37:55,025 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=845 | chunk=0/1 | step_in_chunk=895 | exec_src=open[t+1] | raw_exec_p=80359.82 | buy_price(+slip)=80375.89 | size=0.000183 | notional=$14.69 | capital_before=$19.90 | cash_after=$5.18 | exposure=73.81% | SL=0.67% TP=1.46% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:37:58 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=870 | chunk=0/1 | step_in_chunk=920 | exec_src=open[t+1] | raw_exec_p=79160.0 | buy_price(+slip)=79175.83 | size=0.000194 | notional=$15.38 | capital_before=$19.74 | cash_after=$4.33 | exposure=77.91% | SL=1.17% TP=1.75% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:37:58,721 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=870 | chunk=0/1 | step_in_chunk=920 | exec_src=open[t+1] | raw_exec_p=79160.0 | buy_price(+slip)=79175.83 | size=0.000194 | notional=$15.38 | capital_before=$19.74 | cash_after=$4.33 | exposure=77.91% | SL=1.17% TP=1.75% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:05 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=898 | chunk=0/1 | step_in_chunk=948 | exec_src=open[t+1] | raw_exec_p=79273.36 | buy_price(+slip)=79289.21 | size=0.000195 | notional=$15.48 | capital_before=$19.70 | cash_after=$4.19 | exposure=78.58% | SL=0.78% TP=1.60% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:05,446 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=898 | chunk=0/1 | step_in_chunk=948 | exec_src=open[t+1] | raw_exec_p=79273.36 | buy_price(+slip)=79289.21 | size=0.000195 | notional=$15.48 | capital_before=$19.70 | cash_after=$4.19 | exposure=78.58% | SL=0.78% TP=1.60% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:09 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=919 | chunk=0/1 | step_in_chunk=969 | exec_src=open[t+1] | raw_exec_p=79109.66 | buy_price(+slip)=79125.48 | size=0.000188 | notional=$14.86 | capital_before=$19.64 | cash_after=$4.75 | exposure=75.66% | SL=0.86% TP=1.38% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:09,378 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=919 | chunk=0/1 | step_in_chunk=969 | exec_src=open[t+1] | raw_exec_p=79109.66 | buy_price(+slip)=79125.48 | size=0.000188 | notional=$14.86 | capital_before=$19.64 | cash_after=$4.75 | exposure=75.66% | SL=0.86% TP=1.38% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:16 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=942 | chunk=0/1 | step_in_chunk=992 | exec_src=open[t+1] | raw_exec_p=79125.79 | buy_price(+slip)=79141.62 | size=0.000192 | notional=$15.19 | capital_before=$19.57 | cash_after=$4.35 | exposure=77.59% | SL=0.61% TP=1.15% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:38:16,695 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=942 | chunk=0/1 | step_in_chunk=992 | exec_src=open[t+1] | raw_exec_p=79125.79 | buy_price(+slip)=79141.62 | size=0.000192 | notional=$15.19 | capital_before=$19.57 | cash_after=$4.35 | exposure=77.59% | SL=0.61% TP=1.15% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:38:19 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=967 | chunk=0/1 | step_in_chunk=1017 | exec_src=open[t+1] | raw_exec_p=76619.05 | buy_price(+slip)=76634.37 | size=0.000207 | notional=$15.82 | capital_before=$19.42 | cash_after=$3.56 | exposure=81.47% | SL=0.72% TP=1.33% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:38:19,816 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=967 | chunk=0/1 | step_in_chunk=1017 | exec_src=open[t+1] | raw_exec_p=76619.05 | buy_price(+slip)=76634.37 | size=0.000207 | notional=$15.82 | capital_before=$19.42 | cash_after=$3.56 | exposure=81.47% | SL=0.72% TP=1.33% | tier=Micro Capital | TF=5m | profile=scalper
2026-08-18 10:38:26 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=991 | chunk=0/1 | step_in_chunk=1041 | exec_src=open[t+1] | raw_exec_p=76730.85 | buy_price(+slip)=76746.20 | size=0.000202 | notional=$15.53 | capital_before=$19.36 | cash_after=$3.79 | exposure=80.26% | SL=0.62% TP=1.18% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:26,173 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=991 | chunk=0/1 | step_in_chunk=1041 | exec_src=open[t+1] | raw_exec_p=76730.85 | buy_price(+slip)=76746.20 | size=0.000202 | notional=$15.53 | capital_before=$19.36 | cash_after=$3.79 | exposure=80.26% | SL=0.62% TP=1.18% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:31 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1017 | chunk=0/1 | step_in_chunk=1067 | exec_src=open[t+1] | raw_exec_p=77009.99 | buy_price(+slip)=77025.39 | size=0.000204 | notional=$15.74 | capital_before=$19.34 | cash_after=$3.57 | exposure=81.39% | SL=0.70% TP=1.11% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:31,159 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1017 | chunk=0/1 | step_in_chunk=1067 | exec_src=open[t+1] | raw_exec_p=77009.99 | buy_price(+slip)=77025.39 | size=0.000204 | notional=$15.74 | capital_before=$19.34 | cash_after=$3.57 | exposure=81.39% | SL=0.70% TP=1.11% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:38 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1045 | chunk=0/1 | step_in_chunk=1095 | exec_src=open[t+1] | raw_exec_p=77046.73 | buy_price(+slip)=77062.14 | size=0.000209 | notional=$16.12 | capital_before=$19.27 | cash_after=$3.12 | exposure=83.64% | SL=0.76% TP=1.41% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:38,560 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1045 | chunk=0/1 | step_in_chunk=1095 | exec_src=open[t+1] | raw_exec_p=77046.73 | buy_price(+slip)=77062.14 | size=0.000209 | notional=$16.12 | capital_before=$19.27 | cash_after=$3.12 | exposure=83.64% | SL=0.76% TP=1.41% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:43 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1065 | chunk=0/1 | step_in_chunk=1115 | exec_src=open[t+1] | raw_exec_p=76728.01 | buy_price(+slip)=76743.36 | size=0.000175 | notional=$13.44 | capital_before=$19.15 | cash_after=$5.68 | exposure=70.20% | SL=0.78% TP=1.45% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:43,964 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1065 | chunk=0/1 | step_in_chunk=1115 | exec_src=open[t+1] | raw_exec_p=76728.01 | buy_price(+slip)=76743.36 | size=0.000175 | notional=$13.44 | capital_before=$19.15 | cash_after=$5.68 | exposure=70.20% | SL=0.78% TP=1.45% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:47 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1093 | chunk=0/1 | step_in_chunk=1143 | exec_src=open[t+1] | raw_exec_p=76859.99 | buy_price(+slip)=76875.36 | size=0.000193 | notional=$14.82 | capital_before=$19.10 | cash_after=$4.25 | exposure=77.58% | SL=0.60% TP=1.12% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:47,753 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1093 | chunk=0/1 | step_in_chunk=1143 | exec_src=open[t+1] | raw_exec_p=76859.99 | buy_price(+slip)=76875.36 | size=0.000193 | notional=$14.82 | capital_before=$19.10 | cash_after=$4.25 | exposure=77.58% | SL=0.60% TP=1.12% | tier=Micro Capital | TF=4h | profile=scalper
